判定,リージー企業名,リージー_ID,R_商談,R_受注,R_連絡先,Luma候補件数,Luma企業名(完全一致?),Luma_ID,L_商談,L_受注,L_連絡先,要確認事項
NEW（新規作成）,Allegro株式会社,50f27cf2-3431-4798-95c9-563f8286eea4,1,1,0,0,,,,,,
NEW（新規作成）,Faraday Factory Japan,80d0ea4c-fc64-4895-ac43-2374cd1a96bd,1,0,1,0,,,,,,
NEW（新規作成）,g-wic,7ff1e48c-6474-40d1-9e66-3f29bb762dc2,1,1,0,0,,,,,,
NEW（新規作成）,もちづき行政書士事務所,18abcf2e-be47-4765-b0a5-4fbbce094044,1,0,1,0,,,,,,
NEW（新規作成）,オオヨドコーポレーション,75567712-29b8-432a-8ca8-cd3b59ebfbf8,1,2,1,0,,,,,,
NEW（新規作成）,スポーツX株式会社,e898e718-1458-4558-a42b-c05c9f44ef39,1,0,1,0,,,,,,
MATCH（完全一致）,タキイ種苗株式会社,91939070-ea06-44c4-ba7c-e2afbcf27517,1,0,1,1,タキイ種苗株式会社 ★完全一致,8c7d50b4-e9e8-4072-a3ca-aa3f10174d50,1,0,6,
NEW（新規作成）,ダイワサイクル株式会社,67862ad5-f76b-4d6b-add0-6f75b9713d67,1,0,1,0,,,,,,
NEW（新規作成）,トゥリーウォード株式会社,93eab76f-f7e4-4240-a438-c2ab34675b18,1,0,1,0,,,,,,
MATCH（完全一致）,マクセル株式会社,c35b3dad-cb52-4d1d-a5a8-9827a5f21796,1,0,2,1,マクセル株式会社 ★完全一致,746dd50d-266a-4755-ab59-aec9bbababa8,1,0,5,
NEW（新規作成）,リカレント・キャピタル株式会社,9935b76f-9560-43d2-9359-6c2ee3550110,1,0,0,0,,,,,,
MATCH（完全一致）,井上リボン工業株式会社,52aadf2f-1c01-4c8b-a8b2-1d507db6517e,1,0,5,1,井上リボン工業株式会社 ★完全一致,963db03a-0d4e-422d-9b7d-c40f1742e6ca,1,0,12,
MATCH（完全一致）,八尾トーヨー住器株式会社,6b685926-4d5f-4747-bc74-1fcd44385bae,1,0,0,1,八尾トーヨー住器株式会社 ★完全一致,d16140c3-b6bc-4704-9101-cb94686c0efa,2,0,8,
MATCH（完全一致）,前田特許事務所,23c28f7b-2629-450f-9982-0d2249e925fa,1,0,1,1,前田特許事務所 ★完全一致,a4f92489-a56f-4885-a1ce-d179b2acdc3b,1,0,4,
NEW（新規作成）,合同会社Jump Forward Japan,b91a5b82-8f1c-4b67-b243-df3a2139a8aa,1,0,1,0,,,,,,
MATCH（完全一致）,岡安証券株式会社,b9640dd5-4465-4668-bd22-12f1ee41c10c,1,0,1,1,岡安証券株式会社 ★完全一致,75c5a525-d98e-40b6-aa58-87bff4aaa1af,1,0,3,
MATCH（完全一致）,日本経営グループ,5cc1ce08-370d-40ce-95c6-4ee786699990,1,0,3,1,日本経営グループ ★完全一致,fa200164-0c71-4fed-bdd8-dbe8e0dea96f,3,0,18,
NEW（新規作成）,東京サプリメントラボ,4905757d-467a-459f-9844-ac4c89786b0e,1,0,0,0,,,,,,
NEW（新規作成）,東和株式会社,b77c28c5-4abe-42bb-b954-7ef220be399d,1,0,1,0,,,,,,
MATCH（完全一致）,株式会社 バレット,91afadc0-f906-456d-b3f4-20573cbeb771,1,0,1,1,株式会社 バレット ★完全一致,55cddf48-b17c-4795-a6f9-c649646c48cf,1,0,3,
MATCH?（正規化のみ一致・要目視）,株式会社 原工務所,5ac5b953-f800-4203-95d3-dc1f15500371,1,0,1,1,株式会社原工務所,9d36c174-d5d7-47d2-a0ec-30ab54df8f71,1,0,3,表記ゆれ: 「株式会社 原工務所」 vs 「株式会社原工務所」
NEW（新規作成）,株式会社ALGO ARTIS,3556b951-0dea-48c0-9c69-3b5208af0658,1,0,1,0,,,,,,
NEW（新規作成）,株式会社AddBox,1dafb3e7-f42a-4b14-bea1-77fd73d8bcff,1,0,1,0,,,,,,
NEW（新規作成）,株式会社EMEER,1255f03a-843b-45c0-979f-cbe256ffd8c4,1,0,0,0,,,,,,
NEW（新規作成）,株式会社g-wic,5d395302-87b6-4fe0-b39f-d8aa91b3bedb,2,1,0,0,,,,,,
NEW（新規作成）,株式会社アクセラリージェンシー,bc2dbcc3-ec69-46cd-aed3-9edf7eac58f4,1,0,1,0,,,,,,
NEW（新規作成）,株式会社アクセルファクター,3d879e98-4b83-458d-af88-b90548cabef6,1,0,1,0,,,,,,
MATCH（完全一致）,株式会社アーバンフィット,e5a0c1d5-2cdd-4d87-bca8-b5e4c634e3a7,1,0,1,1,株式会社アーバンフィット ★完全一致,03718d89-59be-4b2f-b77b-aa06bd357c93,1,0,2,
MULTI（候補複数・要選択）,株式会社エンビジョン,d0f6c1a0-7e4c-4395-99b9-3e7b1566ada0,1,0,1,2,株式会社エンビジョン ★完全一致,0f5eafd8-f8f1-4757-909b-3f35ab44892a,1,0,3,Luma側に同名候補が2件。完全名と受注dealで確認
MULTI（候補複数・要選択）,株式会社エンビジョン,d0f6c1a0-7e4c-4395-99b9-3e7b1566ada0,1,0,1,2,株式会社エンビジョン ★完全一致,d054e48c-758c-40f6-9ce9-394648f1d49e,0,0,1,Luma側に同名候補が2件。完全名と受注dealで確認
NEW（新規作成）,株式会社オーシャンズ,02cccf70-7a47-4204-ae9f-091fd83fc7c5,1,0,1,0,,,,,,
MATCH（完全一致）,株式会社システムサポート,476722af-a9e3-4af5-9045-6b8cd4b436b8,1,0,1,1,株式会社システムサポート ★完全一致,90eb1f9e-e597-4839-8b08-e1d6b1f336c6,1,0,2,
MATCH（完全一致）,株式会社ジェイマックシステム,053e83f2-b5d9-4565-9357-9bfcf2c54b87,1,0,3,1,株式会社ジェイマックシステム ★完全一致,04b7a7bf-d1aa-4d6a-ad25-fe34adde6c9b,1,0,6,
MATCH（完全一致）,株式会社セルート,3ffd9359-8f69-4ea7-a002-7e854751f307,1,0,2,1,株式会社セルート ★完全一致,74891862-cf5a-4b6c-b7a1-b1584cbcf1cb,1,0,9,
MATCH（完全一致）,株式会社タイヤーサービスセンター,8bdac576-0f42-4e5f-81cd-01d240031991,1,0,1,1,株式会社タイヤーサービスセンター ★完全一致,b829adbf-71fc-4879-a31e-a581d0da7725,2,0,11,
MATCH（完全一致）,株式会社テクトレージ,0153d764-f2f4-4b75-a3ca-152a63ef3b0d,1,0,1,1,株式会社テクトレージ ★完全一致,7b261a17-f6cd-4065-8103-688a82c36880,1,0,4,
NEW（新規作成）,株式会社ハミエル,d187ddc5-98f0-4225-aa57-cec5a36639b7,1,0,1,0,,,,,,
NEW（新規作成）,株式会社モバイル・プランニング,c5936355-7fbe-4c32-aadc-8d417d2aa1c5,1,0,1,0,,,,,,
NEW（新規作成）,株式会社ヤギッシュ,11565618-d487-457f-a88e-7b19ea4d55b6,1,1,1,0,,,,,,
MATCH（完全一致）,株式会社三谷製作所,8c9ab9d6-bd39-48b9-95de-1c5c7838dd54,2,0,1,1,株式会社三谷製作所 ★完全一致,35c18d66-212b-4af4-962c-64e01436ed53,1,0,2,
