"顧客名","支払時期","契約締結状況","請求書送付状況","着金状況","納品予定日","着金見込み日","契約金額","着金金額",""
"三恭工業株式会社","前払い","締結済み","送付済み","確認済み","2025/09/15","2025/7/31","¥654,040","¥719,444",""
"株式会社三谷製作所","納品後支払い","締結済み","送付済み","確認済み","2025/09/30","2025/10/31","¥800,000","¥880,000",""
"株式会社アペックス","納品後支払い","締結済み","送付済み","確認済み","2025/06/30","2025/08/31","¥575,000","¥632,500",""
"澤村株式会社","納品後支払い","締結済み","送付済み","確認済み","2025/07/30","2025/08/31","¥550,000","¥605,000",""
"株式会社SKB","前払い","締結済み","送付済み","確認済み","2025/09/15","2025/05/31","¥625,220","¥687,742",""
"トクシン電気","分割支払い","締結済み","前金分送付済み","前金分確認済み","2025/06/30","2025/07/31","¥1,129,220","¥1,242,142",""
"東急リニューアル株式会社","納品後支払い","締結済み","送付済み","確認済み","2025/09/30","2025/10/31","¥1,324,026","¥1,456,429",""
"交換できるくん","納品後支払い","締結済み","未送付","未確認","2025/10/31","2025/11/30","¥607,160","¥667,876",""
"アイティーフォー","納品後支払い","締結済み","送付済み","確認済み","2025/04/25","2025/07/31","¥576,080","¥633,688",""
"新栄ダクトグループ","前払い","締結済み","送付済み","確認済み","2025/06/30","2025/07/31","¥564,080","¥620,488",""
"JMAC","納品後支払い","締結済み","送付済み","確認済み","2025/05/31","2025/07/31","¥652,580","¥717,838",""
"bbs金明","前払い","締結済み","送付済み","確認済み","2025/08/31","2025/09/30","¥505,260","¥555,786",""
"株式会社辻商店","前払い","締結済み","送付済み","確認済み","2025/07/31","9/30","¥891,940","¥981,134",""
"有限会社若林電設","前払い","締結済み","送付済み","確認済み","2025/09/30","8/31","¥664,440","¥730,884",""
"aoba-bbt","納品後支払い","締結済み","送付済み","確認済み","2025/08/31","10/31","¥300,000","¥330,000",""
"ユニオンテクノロジー","納品後支払い","締結済み","送付済み","確認済み","2025/12/31","2026/04/30","¥617,520","¥679,272",""
"JMAC","納品後支払い","締結済み","送付済み","確認済み","2025/09/30","2025/10/31","¥491,580","¥540,738",""
"フィグニー株式会社","前払い","締結済み","送付済み","確認済み","2025/11/30","10/31","¥551,920","¥607,112",""
"東急リニューアル株式会社","納品後支払い","締結済み","送付済み","確認済み","","11/30","¥400,000","¥440,000",""
"NHK","分割支払い","締結済み","送付済み","未確認","2025/11/30","2025/10/31","¥760,000","¥836,000",""
"KFB福島放送","納品後支払い","締結済み","送付済み","確認済み","2025/12/31","2026/01/31","¥500,000","¥550,000",""
"パナソニックリビング","納品後支払い","締結済み","送付済み","確認済み","","","¥180,000","¥198,000",""
"京都社会福祉協議会","納品後支払い","締結済み","送付済み","確認済み","","","¥550,000","¥605,000",""
"株式会社studio D plus","納品後支払い","締結済み","送付済み","確認済み","","","¥181,818","¥200,000",""
"株式会社プラス","前払い","締結済み","送付済み","確認済み","","2025/12/31","¥548,000","¥602,800",""
"イープラス","前払い","締結済み","送付済み","確認済み","2025/11/30","2025/11/30","¥400,000","¥440,000",""
"イープラス（サイネージ）","前払い","締結済み","送付済み","確認済み","","2025/1/31","¥450,000","¥495,000",""
"前田特許事務所","前払い","締結済み","送付済み","確認済み","","11/30","¥580,000","¥638,000",""
"草野作工","前払い","締結済み","送付済み","確認済み","","11/30","¥635,260","¥698,786",""
"JAほくさい","前払い","締結済み","送付済み","確認済み","","2025/12/31","¥585,580","¥644,138",""
"オチアイ","前払い","締結済み","送付済み","確認済み","","2025/12/31","¥551,380","¥606,518",""
"竹内産業","前払い","締結済み","送付済み","確認済み","","2026/12/31","¥658,900","¥724,790",""
"メディアリンク","分割支払い","締結済み","前金分送付済み","前金分確認済み","2026/04/30","","¥1,482,940","¥1,631,234",""
"日本海","納品後支払い","締結済み","送付済み","未確認","","","¥704,106","¥782,234",""
"積慶園","前払い","締結済み","送付済み","確認済み","","2026/1/31","¥551,860","¥607,046",""
"プランテック","前払い","締結済み","送付済み","未確認","","2026/01/31","¥1,000,000","¥1,100,000",""
"丸水","分割支払い","締結済み","送付済み","前金分確認済み","","","","¥0",""
"内山アドバンス","分割支払い","締結済み","前金分送付済み","前金分確認済み","","","","¥0",""
"三友エンジニアリング","分割支払い","締結済み","前金分送付済み","前金分確認済み","","","","¥0",""
